"","date","fuelType","nuts2","priceMean","n"
"505","2021-01-26","DIE","B",1.036625,128
"506","2021-01-26","SUP","B",1.09286734693877,98
"507","2021-01-26","DIE","O",1.05315061728395,405
"508","2021-01-26","SUP","O",1.09629526462395,359
"509","2021-01-26","DIE","Sa",1.06976351351351,148
"510","2021-01-26","SUP","Sa",1.12606976744186,129
"511","2021-01-26","DIE","T",1.07829777777778,225
"512","2021-01-26","SUP","T",1.12203317535545,211
"513","2021-01-26","DIE","V",1.05884,75
"514","2021-01-26","SUP","V",1.11485135135135,74
"515","2021-01-26","DIE","St",1.03898684210526,380
"516","2021-01-26","SUP","St",1.09091768292683,328
"517","2021-01-26","DIE","K",1.0716013986014,143
"518","2021-01-26","SUP","K",1.15433082706767,133
"519","2021-01-26","DIE",NA,1.05829878323569,2219
"520","2021-01-26","SUP",NA,1.11058104609011,1931
"521","2021-01-27","DIE","W",1.08964705882353,136
"522","2021-01-27","SUP","W",1.14375694444444,144
"523","2021-01-27","DIE","N",1.06074193548387,558
"524","2021-01-27","SUP","N",1.11367991169978,453
"525","2021-01-27","DIE","B",1.03701612903226,124
"526","2021-01-27","SUP","B",1.09797142857143,105
"527","2021-01-27","DIE","O",1.05524146341464,410
"528","2021-01-27","SUP","O",1.10180758807588,369
"529","2021-01-27","DIE","Sa",1.07600709219858,141
"530","2021-01-27","SUP","Sa",1.13395238095238,126
"531","2021-01-27","DIE","T",1.0826866359447,217
